,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
14,xs4A6LDWSa1Sll63Ng8WuA,WTF Burgers,"1024 E Buckeye Rd, Ste 185",Phoenix,AZ,85034.0,33.4373226,-112.0595692,4.0,17,1,"{'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'False', 'RestaurantsGoodForGroups': 'True', 'WiFi': ""'free'"", 'HasTV': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating': 'False', 'RestaurantsTakeOut': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}""}","Restaurants, Burgers, American (Traditional)","{'Monday': '0:0-0:0', 'Tuesday': '9:0-21:0', 'Wednesday': '7:0-16:0', 'Thursday': '9:0-21:0', 'Friday': '9:0-21:0', 'Saturday': '11:0-20:0', 'Sunday': '11:0-19:0'}"
15,-HO8ejDGgvj_Guw3R6lH1g,Peter Piper Pizza,4024 N 67th Ave,Phoenix,AZ,85033.0,33.4934232,-112.20468100000001,3.5,14,1,"{'RestaurantsDelivery': 'False', 'OutdoorSeating': 'False', 'RestaurantsAttire': ""u'casual'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForKids': 'True', 'HasTV': 'True', 'NoiseLevel': ""u'average'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsTakeOut': 'True', 'Caters': 'True', 'RestaurantsGoodForGroups': 'True', 'Alcohol': ""u'beer_and_wine'"", 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'True', 'WiFi': ""u'free'"", 'RestaurantsTableService': 'False', 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}""}","Restaurants, Chicken Wings, Pizza, Buffets","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '10:0-23:0', 'Sunday': '11:0-22:0'}"
16,qbZ0Hjp-lUMtkGS_R1UnpQ,Burger King,3164 E McDowell Rd,Phoenix,AZ,85008.0,33.466085,-112.01324299999999,2.0,14,1,"{'RestaurantsPriceRange2': '2', 'HasTV': 'True', 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsReservations': 'False', 'NoiseLevel': ""u'average'"", 'GoodForKids': 'True', 'RestaurantsGoodForGroups': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsTakeOut': 'True'}","Fast Food, Restaurants, Burgers, Hot Dogs",
17,jWxM8FeoW2f4w5mD-z_8kw,Original ChopShop,4503 N 32nd St,Phoenix,AZ,85018.0,33.5028289,-112.01272859999999,4.0,43,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsGoodForGroups': 'True', 'WheelchairAccessible': 'True', 'RestaurantsPriceRange2': '2', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'GoodForKids': 'True', 'WiFi': ""u'free'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsReservations': 'False', 'Alcohol': ""u'beer_and_wine'"", 'RestaurantsTableService': 'False', 'OutdoorSeating': 'False', 'RestaurantsAttire': ""'casual'"", 'HasTV': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'DogsAllowed': 'True', 'RestaurantsDelivery': 'True', 'Caters': 'True'}","Restaurants, Salad, Juice Bars & Smoothies, Food, American (New), Breakfast & Brunch","{'Monday': '7:0-21:0', 'Tuesday': '7:0-21:0', 'Wednesday': '7:0-21:0', 'Thursday': '7:0-21:0', 'Friday': '7:0-21:0', 'Saturday': '7:0-21:0', 'Sunday': '7:0-20:0'}"
18,1buqH6E5R2jPOrTQDF6sFQ,Jack-In-the Box,3455 W McDowell Rd,Phoenix,AZ,85009.0,33.4656892,-112.13403400000001,2.0,5,1,"{'RestaurantsAttire': ""'casual'"", 'DriveThru': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '1', 'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsReservations': 'False', 'RestaurantsDelivery': 'False', 'BikeParking': 'True'}","Desserts, Burgers, Breakfast & Brunch, Food, Restaurants",
19,orypdwCu2oSEJv3YNTSAhw,Pork on a Fork,"4724 N 20th St, Ste 140",Phoenix,AZ,85016.0,33.5074647365,-112.0407363257,4.0,190,1,"{'RestaurantsPriceRange2': '2', 'Alcohol': ""u'beer_and_wine'"", 'RestaurantsGoodForGroups': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsAttire': ""'casual'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'RestaurantsTableService': 'False', 'WiFi': ""u'free'"", 'NoiseLevel': ""u'average'"", 'OutdoorSeating': 'True', 'Caters': 'True', 'RestaurantsReservations': 'False', 'DogsAllowed': 'False', 'RestaurantsTakeOut': 'True', 'BikeParking': 'False', 'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'HasTV': 'True', 'BusinessAcceptsBitcoin': 'False', 'RestaurantsDelivery': 'False', 'WheelchairAccessible': 'True'}","Restaurants, Salad, Barbeque, Caterers, Sandwiches, Event Planning & Services","{'Monday': '0:0-0:0', 'Tuesday': '11:0-18:0', 'Wednesday': '11:0-18:0', 'Thursday': '11:0-20:0', 'Friday': '11:0-18:0', 'Saturday': '11:0-19:0', 'Sunday': '11:0-20:0'}"
20,m5sGdODCWYVu-bjvqG_OOA,Pizza Hut,"8052 N 19th Ave, Ste 14",Phoenix,AZ,85021.0,33.5551465,-112.10058889999999,1.5,29,1,"{'RestaurantsAttire': ""u'casual'"", 'HasTV': 'False', 'BikeParking': 'True', 'RestaurantsReservations': 'False', 'Alcohol': ""u'none'"", 'RestaurantsGoodForGroups': 'False', 'RestaurantsPriceRange2': '2', 'WiFi': ""'no'"", 'RestaurantsDelivery': 'True', 'Caters': 'False', 'BusinessAcceptsCreditCards': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'NoiseLevel': ""'average'"", 'RestaurantsTableService': 'False', 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating': 'False'}","Pizza, Italian, Chicken Wings, Restaurants",
21,Vp9TrF9P4ifIRAMcte-ycw,IHOP,5020 E Ray Rd,Phoenix,AZ,85044.0,33.3204,-111.97530459999999,3.0,96,1,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'NoiseLevel': ""u'average'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsPriceRange2': '1', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': True, 'breakfast': True}"", 'WiFi': ""u'free'"", 'RestaurantsDelivery': 'False', 'HasTV': 'False', 'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'True', 'Alcohol': ""u'none'"", 'GoodForKids': 'True', 'Caters': 'False', 'OutdoorSeating': 'False', 'BikeParking': 'True', 'DriveThru': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}""}","Restaurants, Breakfast & Brunch, American (New), American (Traditional), Burgers","{'Monday': '0:0-14:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-14:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-14:0'}"
22,da_QOspls2XoU5AZ6QNcww,Rubio's,"2320 E Baseline Rd, Ste 150",Phoenix,AZ,85042.0,33.3793267053,-112.0308799454,4.0,66,1,"{'RestaurantsAttire': ""u'casual'"", 'RestaurantsDelivery': 'False', 'GoodForKids': 'True', 'HasTV': 'False', 'OutdoorSeating': 'True', 'Caters': 'True', 'Alcohol': ""u'beer_and_wine'"", 'RestaurantsPriceRange2': '1', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'WiFi': ""'no'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsTakeOut': 'True', 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'NoiseLevel': ""'average'"", 'RestaurantsReservations': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}""}","Caterers, Salad, Event Planning & Services, Restaurants, Seafood, Mexican","{'Monday': '10:30-21:0', 'Tuesday': '10:30-21:0', 'Wednesday': '10:30-21:0', 'Thursday': '10:30-21:0', 'Friday': '10:30-21:0', 'Saturday': '10:30-21:0', 'Sunday': '11:0-20:0'}"
26,qDbVUkKMLtRqSDcKgLTx1A,Slices,21001 N Tatum Blvd,Phoenix,AZ,85050.0,33.6757978731,-111.9710667059,3.0,79,1,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BYOBCorkage': ""'yes_free'"", 'RestaurantsPriceRange2': '1', 'RestaurantsDelivery': 'False', 'Caters': 'False', 'RestaurantsReservations': 'False', 'Alcohol': ""u'none'"", 'WiFi': ""'no'"", 'RestaurantsTakeOut': 'True', 'RestaurantsGoodForGroups': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'NoiseLevel': ""'average'"", 'BusinessAcceptsCreditCards': 'True', 'OutdoorSeating': 'True', 'Corkage': 'False', 'BikeParking': 'True', 'HasTV': 'True', 'RestaurantsAttire': ""'casual'"", 'GoodForKids': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}""}","Desserts, Pizza, American (New), Restaurants, Food, Salad","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-20:0'}"
27,yvJqxVTO_qwRGLMtUrqzQw,Barro's Pizza,"2510 W Thunderbird Rd, Ste 6",Phoenix,AZ,85023.0,33.611424,-112.1106287,3.5,110,1,"{'RestaurantsDelivery': 'True', 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsReservations': 'False', 'Caters': 'True', 'OutdoorSeating': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'WiFi': ""'no'"", 'RestaurantsTakeOut': 'True', 'RestaurantsGoodForGroups': 'True', 'NoiseLevel': ""u'average'"", 'GoodForKids': 'True', 'BikeParking': 'True', 'Alcohol': ""u'beer_and_wine'"", 'HasTV': 'True'}","Sandwiches, Italian, Restaurants, Pizza","{'Monday': '10:30-22:0', 'Tuesday': '10:30-22:0', 'Wednesday': '10:30-22:0', 'Thursday': '10:30-22:0', 'Friday': '10:30-23:0', 'Saturday': '10:30-23:0', 'Sunday': '10:30-22:0'}"
28,wHq1efQVz17338k_aUOX3w,Hob Nobs,149 W McDowell Rd,Phoenix,AZ,85003.0,33.465462,-112.07801699999999,4.0,307,1,"{'BusinessAcceptsCreditCards': 'True', 'NoiseLevel': ""'average'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsAttire': ""u'casual'"", 'RestaurantsGoodForGroups': 'True', 'Caters': 'True', 'RestaurantsTakeOut': 'True', 'GoodForKids': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsReservations': 'True', 'BusinessAcceptsBitcoin': 'False', 'OutdoorSeating': 'True', 'Alcohol': ""u'full_bar'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': True}"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'HasTV': 'True', 'WiFi': ""u'free'"", 'BikeParking': 'True', 'RestaurantsPriceRange2': '2'}","Sandwiches, Restaurants, American (New), Cafes, Delis, Breakfast & Brunch, Pizza, Nightlife, Food, Local Flavor, Arts & Entertainment, Jazz & Blues, Coffee & Tea","{'Monday': '7:0-21:0', 'Tuesday': '7:0-21:0', 'Wednesday': '7:0-21:0', 'Thursday': '7:0-21:0', 'Friday': '7:0-0:0', 'Saturday': '7:0-0:0', 'Sunday': '7:0-21:0'}"
